"","bacteria","timepoint",".y.","group1","group2","p","p.format","p.signif","method","p.adj","p.adj.signif","taxa_level"
"58","Atlantibacter","D26","mean","Ctl Female","Ctl Male",0.69047619047619,"0.69048","ns","Wilcoxon",0.69047619047619,"ns","genius"
"59","Atlantibacter","D26","mean","Ctl Female","EtOH Female",0.0263886611893455,"0.02639","*","Wilcoxon",0.0791659835680365,"ns","genius"
"60","Atlantibacter","D26","mean","Ctl Male","EtOH Female",0.0875259210800513,"0.08753","ns","Wilcoxon",0.131288881620077,"ns","genius"
"61","Bacillus","D26","mean","EtOH Male","Ctl Female",0.817344290559303,"0.81734","ns","Wilcoxon",0.980813148671164,"ns","genius"
"62","Bacillus","D26","mean","EtOH Male","Ctl Male",0.0894057315056793,"0.08941","ns","Wilcoxon",0.225203899859174,"ns","genius"
"63","Bacillus","D26","mean","EtOH Male","EtOH Female",1,"1.00000","ns","Wilcoxon",1,"ns","genius"
"64","Bacillus","D26","mean","Ctl Female","Ctl Male",0.072005657555498,"0.07201","ns","Wilcoxon",0.225203899859174,"ns","genius"
"65","Bacillus","D26","mean","Ctl Female","EtOH Female",0.56899529615353,"0.56900","ns","Wilcoxon",0.853492944230295,"ns","genius"
"66","Bacillus","D26","mean","Ctl Male","EtOH Female",0.112601949929587,"0.11260","ns","Wilcoxon",0.225203899859174,"ns","genius"
"67","Bacteria_unclassified","D26","mean","EtOH Male","Ctl Female",0.00621600621600622,"0.00622","**","Wilcoxon",0.0372960372960373,"*","genius"
"68","Bacteria_unclassified","D26","mean","EtOH Male","Ctl Male",0.0932400932400932,"0.09324","ns","Wilcoxon",0.111888111888112,"ns","genius"
"69","Bacteria_unclassified","D26","mean","EtOH Male","EtOH Female",0.0152200740436035,"0.01522","*","Wilcoxon",0.0456602221308104,"*","genius"
"70","Bacteria_unclassified","D26","mean","Ctl Female","Ctl Male",0.0555555555555556,"0.05556","ns","Wilcoxon",0.0833333333333333,"ns","genius"
"71","Bacteria_unclassified","D26","mean","Ctl Female","EtOH Female",0.041958041958042,"0.04196","*","Wilcoxon",0.0833333333333333,"ns","genius"
"72","Bacteria_unclassified","D26","mean","Ctl Male","EtOH Female",0.797202797202797,"0.79720","ns","Wilcoxon",0.797202797202797,"ns","genius"
"73","Bacteroidales_unclassified","D26","mean","EtOH Male","Ctl Female",0.435120435120435,"0.43512","ns","Wilcoxon",0.437562437562438,"ns","genius"
"74","Bacteroidales_unclassified","D26","mean","EtOH Male","Ctl Male",0.127428127428127,"0.12743","ns","Wilcoxon",0.293706293706294,"ns","genius"
